name,catalog,class,significance,cat_name,var_flag,streak_src_flag,pileup_flag,ra,dec,offset,missing,sat_src_flag,extent_flag,conf_flag,cat_ra,cat_dec
2CXO J104858.9-594108,SKIFF,STAR,3.8918918918917207,HD 303413                  ,0,0,0,162.24575403160634,-59.685773506932705,0.4446924447996652,0.2153846153846154,0,0,0,162.2456667,-59.6858889
2CXO J180425.8-242308,SKIFF,STAR,5.961601098467279,HD 164906                  ,1,0,0,271.1077169138059,-24.38572978841433,0.4448399621425848,0.38461538461538464,0,0,0,271.107625,-24.3856389
2CXO J085328.3-473107,SKIFF,STAR,18.61499275433364,HD 76307                   ,1,0,0,133.36811356774106,-47.518664116597,0.4449990649897305,0.4307692307692308,0,0,0,133.36804170000002,-47.5187778
2CXO J134924.6-620936,SKIFF,STAR,4.486486486486366,SS 251                     ,0,0,0,207.35274215957108,-62.16027755536152,0.4450405088767237,0.36923076923076925,0,0,0,207.352625,-62.16016670000001
2CXO J112102.9+531007,simbad,HMXB,5.7718994129645775,CXO J112103.0+531006               ,1,0,0,170.26243222098537,53.16862728555504,0.445351603740599,0.5230769230769231,0,0,0,170.2624583333333,53.16875
2CXO J180440.5-242035,SPICY,YSO,2.6111111111111263,72803,0,0,0,271.16905946782117,-24.34330378129947,0.4454509081246849,0.4153846153846154,0,0,0,271.16896099999997,-24.343389000000002
2CXO J180425.4-242039,SPICY,YSO,3.81818181818193,72614,1,0,0,271.10624151804933,-24.344200585126767,0.4455553786746616,0.4307692307692308,0,0,0,271.106365,-24.344148999999998
2CXO J203244.8+401751,SPICY,YSO,2.9189189189189397,112263,0,0,0,308.1869222016798,40.297724330928176,0.4457494044020949,0.3230769230769231,0,0,0,308.1869700000001,40.297606
2CXO J104501.5-594633,SPICY,YSO,2.8,8205,0,0,0,161.2562564439157,-59.7761106673309,0.4457582459880542,0.35384615384615387,0,0,0,161.256032,-59.77606
2CXO J053511.9-054538,SKIFF,STAR,17.78330913561661,2MASS J05351192-0545379    ,1,0,0,83.79973406971949,-5.760631912646298,0.4457666085536353,0.23076923076923078,0,0,0,83.7996667,-5.7605278
2CXO J181831.6-165503,SPICY,YSO,3.1428571428571863,80466,0,0,0,274.63169431927554,-16.91756097574031,0.4457781502157721,0.4461538461538462,0,0,0,274.631575,-16.917513
2CXO J101853.3-580753,SKIFF,STAR,7.79654833471653,THA 35-II- 23              ,0,0,0,154.72235517294496,-58.13148632446488,0.4458535044768166,0.36923076923076925,0,0,0,154.7225,-58.1313889
2CXO J181842.0-134803,SPICY,YSO,2.5789473684212294,80686,1,0,0,274.6750914796587,-13.800940616060345,0.4458829441558399,0.46153846153846156,0,0,0,274.674979,-13.800999
2CXO J132558.1+073623,VERONCAT,AGN,6.9589602307674125,SDSS J13259+0736 ,0,0,0,201.4921402912552,7.606582730847367,0.4459787492168489,0.4307692307692308,0,0,0,201.4921,7.6067
2CXO J203305.2+412139,SPICY,YSO,3.696969696969546,112447,1,0,0,308.27178540631365,41.36085634925332,0.44619265400761865,0.16923076923076924,0,0,0,308.271948,41.360878
2CXO J143628.0+335524,VERONCAT,AGN,5.3529411764707415,SDSS J14364+3355 ,0,0,0,219.1170022990429,33.923393797594144,0.4463195820325188,0.09230769230769231,0,0,0,219.1171,33.9233
2CXO J171223.6-382825,SPICY,YSO,3.028571428571341,49055,1,0,0,258.09856207941755,-38.47370494587835,0.4463857322552848,0.3230769230769231,0,0,0,258.09859,-38.473827
2CXO J203156.3+411507,SPICY,YSO,2.648648648648625,111801,0,0,0,307.9849414984252,41.25203923494771,0.4464694558564303,0.3384615384615385,0,0,0,307.9851060000001,41.25203
2CXO J142538.9+331009,VERONCAT,AGN,5.314285714285724,SDSS J14256+3310 ,0,0,0,216.41237344717499,33.16926455453261,0.44658713354615975,0.06153846153846154,0,0,0,216.4125,33.1692
2CXO J100157.9+553945,simbad,HMXB,5.241379310344828,[CHP2004] J100158.0+553945         ,1,0,0,150.4914684321717,55.66255375756293,0.44664674353378603,0.4153846153846154,0,0,0,150.49166666666667,55.6625
2CXO J180417.4-241909,SPICY,YSO,7.7690048644973935,72530,1,0,0,271.07251560292354,-24.319259172424307,0.4466717588668581,0.23076923076923078,0,0,0,271.072507,-24.319383
2CXO J142214.5-002915,VERONCAT,AGN,8.703326894882824,SDSS J14222-0029 ,0,0,0,215.5605097909272,-0.4875578167598638,0.4466895419686621,0.24615384615384617,0,0,0,215.5604,-0.4875
2CXO J171456.2+593700,VERONCAT,AGN,6.860881498964537,SPIT J17149+5937 ,0,0,0,258.7344691733247,59.61680505127463,0.4469542018332364,0.2923076923076923,0,0,0,258.7346,59.6167
2CXO J063215.4+045520,SKIFF,STAR,6.0977602279330485,NGC 2244 +04 172           ,1,0,0,98.06455609518828,4.922444249072162,0.4472295334853548,0.18461538461538463,0,0,0,98.0645,4.9223333
2CXO J053523.7-044816,SKIFF,STAR,2.0000000000000004,Haro 4- 33                 ,0,0,0,83.84875374660419,-4.8047067522210005,0.44723665962733,0.38461538461538464,0,0,0,83.8488333,-4.8046111
